ក	ka
កក	kak
កកកុញ	kakakonh
កកកុះ	kakakoh
កកឈាម	kakachheam
កកទឹកកកដី	kakatuekkakadei
កករ	kakar
កករចិត្ត	kakarochett
កកស	kakas
កកស្ទះ	kakasteah
កកា	kaka
កកាត	kakat
កកាប	kakab
កកាយ	kakay
កកាយកកូរ	kakaykakour
កកិច	kakech
កកិចកកុច	kakechkakoch
កកិដ	kaked
កកិត	kaket
កកិបកកុប	kakebkakob
កកិល	kakel
កកិលចូលជិត	kakelchoulchit
កកី	kakei
កកុក	kakok
កកុច	kakoch
កកុធ	kakoth
កកុធភណ្ឌ	kakothphond
កកុសន្ធៈ	kakosntheak
កកូន	kakoun
កកូរ	kakour
កកូរកកាយ	kakourkakay
កកួរ	kakuor
កកើត	kakaeut
កកេបកកាប	kakebkakab
កកេរ	kaker
កកេរឆ្អឹង	kakerchhaoeng
កកេះ	kakeh
កកេះកកាយ	kakehkkay
កកែ	kakae
កកែកកកោក	kakaekkakaok
កកែកករ	kakaekkar
កកែងកកោង	kakaengkakaong
កកែងកោង	kakaengkaong
កកែប	kakaeb
កកែបក្របី	kakaebkrabei
កកែបគោ	kakaebkou
កកែះ	kakaeh
កកោក	kakaok
កកោកកកាក	kakaokkakak
កកោស	kakaos
កកោះ	kakaoh
កក់	kak
កក់ក្ដៅ	kakkdau
កក់ក្តៅ	kakktau
កក់ក្បាល	kakkbal
កក់ខែ	kakkhae
កក់ចែងម៉ែង	kakchaengmeaeng
កក់ជ្រុង	kakchreaung
កក់មូល	kakmul
កក់លុយ	kakluy
កក់សក់	kaksk
កក៌ដ	kakd
កក្កដ	kakkd
កក្កដា	kakkda
កក្កដៈ	kakkdak
កក្ខលភាព	kakkhlopheap
កក្ងិច	kakngich
កក្ងៀក	kakngiek
កក្ងៀង	kakngieng
កក្ដដ	kakdd
កក្តិក	kaktek
កក្រិត	kakrait
កក្រូស	kakraus
កក្រើក	kakraeuk
កក្រើកទឹកកក្រើកដី	kakraeuktuekkakraeukdei
កក្រើករំជួល	kakraeukrumchuol
កក្រើករំពើក	kakraeukrumpeuk
កក្រោក	kakraouk
កក្រោះ	kakrauoh
កក្លាក់	kakleak
កក្លិកកក្លាក់	kaklikkakleak
កក្វិសកក្វាស់	kakviskakveas
កក្សា	kaksa
កក្អម	kakam
កក្អាក	kakaak
កក្អាកកក្អាយ	kakaakkakaay
កក្អាកក្អាយ	kakaakkaay
កក្អាយ	kakaay
កក្អិច	kakaech
កក្អិចកក្អៀក	kakaechkakaiek
កក្អិល	kakael
កក្អឹក	kakaoek
កក្អឹកកក្អិល	kakaoekkakael
កក្អៀក	kakaiek
កក្អៀកកក្អាយ	kakaiekkakaay
កក្អៀច	kakaiech
កក្អែ	kakaae
កខក់	kakhak
កខិក	kakhek
កខិកកខក់	kakhekkakhak
កខិត	kakhet
កខិប	kakheb
កខិបកខុប	kakhebkakhob
កខឹក	kakhoek
កខុង	kakhong
កខុប	kakhob
កខូច	kakhouch
កខូស	kakhous
កខៀច	kakhiech
កខែកកខោក	kakhaekkakhaok
កខ្ពាក់	kakhpeak
កខ្លាក់	kakhleak
កខ្លេះកខ្លោញ	kakhlehkkhlounh
កខ្វក់	kakhvk
កខ្វាច់	kakhveach
កខ្វាស	kakhveas
កខ្វិក	kakhvik
កខ្វិកកខ្វក់	kakhvikkakhvk
កខ្វិច	kakhvich
កខ្វិនកខ្វង់	kakhvinkakhvng
កខ្វើក	kakhveuk
កខ្វេងកខ្វាក់	kakhvengkakhveak
កខ្វេស	kakhves
កខ្វេសកខ្វាស	kakhveskakhveas
កខ្សឹក	kakhsoek
កខ្សឹកកខ្សួល	kakhsoekkakhsuol
កខ្សឹប	kakhsoeb
កខ្សឹបកខ្សៀវ	kakhsoebkakhsiev
កគី	kaki
កង	kang
កងក	kangok
កងកន់	kangokan
កងកម្លាំង	kangokamleang
កងកម្លាំងបេរេបៃតង	kangokamleangberebaitng
កងការពារ	kangokarpear
កងកាំភ្លើងធំ	kangokamphleungthum
កងកិត្តិយស	kangoketteys
កងកុមារ	kangokomear
កងកេង	kangokeng
កងក្រវិល	kangokravil
កងក្រវែល	kangokraveael
កងក្រោយ	kangokraouy
កងខេត្ត	kangokhett
កងខេមរៈ	kangokhemreak
កងឃុំ	kangokhum
កងចក្រ	kangochakra
កងចលនូបត្ថម្ភ	kangochalonubtthmph
កងចល័ត	kangochalt
កងចៅ	kangochau
កងចំបើង	kangochambaeung
កងចំបើងមួយកង	kangochambaeungmuoykang
កងច្រវាក់	kangochraveak
កងជរា	kangochorea
កងជីវពល	kangochivpol
កងជើង	kangocheung
កងជំនួយ	kangochumnuoy
កងឈ្លប	kangochhlb
កងដឹកនាំ	kangodoeknoam
កងដៃ	kangodai
កងតម្រួត	kangotamreauot
កងតម្រួតរក្សាខែត្រ	kangotamreauotroksakhaetra
កងតា	kangota
កងតាណឹង	kangotanoeng
កងតូច	kangotouch
កងតំបន់	kangotambn
កងថ្មើរជើង	kangothmeurcheung
កងទាហាន	kangoteahan
កងទាហានជាង	kangoteahancheang
កងទ័ព	kangotp
កងទ័ពចំណាន	kangotpchamnan
កងទ័ពជើងគោក	kangotpcheungkouk
កងទ័ពជើងទឹក	kangotpcheungtuek
កងទ័ពដំរី	kangotpdamri
កងទ័ពតំបន់	kangotptambn
កងទ័ពថ្មើរជើង	kangotpthmeurcheung
កងទ័ពប្រជាជនកម្ពុជា	kangotpbracheachnokampuchea
កងទ័ពពិសេស	kangotppises
កងទ័ពព្រៃ	kangotppreaey
កងទ័ពមុខ	kangotpmukh
កងទ័ពមួយ	kangotpmuoy
កងទ័ពរទេះ	kangotproteh
កងទ័ពសេះ	kangotpseh
កងទ័ពស្រួច	kangotpsrauoch
កងទ័ពអាកាស	kangotpaakas
កងទ័ពឥន្ទ្រីក្រហម	kangotpeontreaikraham
កងទ័ពឥស្សរៈ	kangotpeossreak
កងធម៌	kangothom
កងធំ	kangothum
កងនគរបាលប្រជាជន	kangonokorobalbracheachn
កងនារីក្លាហាន	kangonearikleahan
កងនាវាចរណ៍	kangoneaveachron
កងនាវិក	kangoneavik
កងនាវឹក	kangoneavuek
កងបញ្ជាការ	kangobanhcheakar
កងបញ្ជូនសារ	kangobanhchunsar
កងបូរ័ណ	kangobourn
កងប៉ូលិសពិសេស	kangobulispises
កងប៉ូលីសពិសេស	kangobulispises
កងប្រយុទ្ធ	kangobrayutth
កងផលិត	kangophalit
កងពល	kangopol
កងពលក្រោះ	kangopolokrauoh
កងពលតូច	kangopolotouch
កងពលតូចសំណង់អគារ	kangopolotouchsamnngakear
កងពលធំ	kangopolothum
កងពិសេស	kangopises
កងព័ន្ធ	kangopnth
កងមនុស្សចាស់	kangomonusschas
កងមាស	kangomeas
កងមុខ	kangomukh
កងយកការសម្ងាត់	kangoyokakarsamngoat
កងយកការសំងាត់	kangoyokakarsamngoat
កងយាមល្បាត	kangoyeamlbat
កងយោធពល	kangoyouthpol
កងយោធពលជាតិ	kangoyouthpolocheate
កងយោធា	kangoyouthea
កងរក្សាខេត្ត	kangoroksakhett
កងរក្សាខែត្រ	kangoroksakhaetra
កងរណសិរ្សសេរីកាជាតិ	kangoronasersserikacheate
កងរណៈសិរ្ស	kangoronaksers
កងរថក្រោះ	kangorothakrauoh
កងរយ	kangoroy
កងរាជតម្រួត	kangoreachtamreauot
កងរាជអាវុធហត្ថ	kangoreachaavuthhatth
កងរំពង	kangorumpng
កងល្បាត	kangolbat
កងវរសេនាតូច	kangovoroseneatouch
កងវរសេនាធំ	kangovoroseneathum
កងវរៈសេនាតូច	kangovoreakseneatouch
កងវាយលុក	kangoveayluk
កងវិស្វករ	kangovisvkar
កងវ័យកណ្ដាល	kangoveykandal
កងសេនាជន	kangoseneachn
កងសោយ	kangosaoy
កងស្រួច	kangosrauoch
កងស្វ័យត្រាណ	kangosveytraean
កងស្វ័យយ័ត	kangosveyyt
កងអត្ដឃាត	kangoaatdkheat
កងអនុសេនា	kangoaanusenea
កងអនុសេនាតូច	kangoaanuseneatouch
កងអនុសេនាធំ	kangoaanuseneathum
កងអនុសេនីឯក	kangoaanuseniaek
កងអាកាសចរណ៍	kangoaakascharon
កងអាវុធហត្ថ	kangoaavuthhatth
កងអាសា	kangoaasa
កងអាសាបរទេស	kangoaasabrotes
កងអាសារ	kangoaasar
កងឯកទេស	kangoaeokates
កងឯកភាព	kangoaeokapheap
កង់	kang
កង់ចក្រ	kangchkra
កង់ច្រវាក់	kangchraveak
កង់តុង	kangtong
កង់បដិវត្តន៍	kangbdevttn
កង់បេរ៉ា	kangberea
កង់បែក	kangbaek
កង់យោង	kangyoung
កង់រទេះ	kangrteh
កង់សឺកួរ	kangseukuor
កង់ស៊ែរ	kangseaer
កង់ឡាន	kanglan
កង់ឡានខ្ញុំធ្លាយ	kanglankhnhumthleay
កង់ឡានធ្លាយ	kanglanthleay
កង្កាញ់	kangkanh
កង្កាញ់រលក	kangkanhrlok
កង្កាញ់សំពត់	kangkanhsampt
កង្កុច	kangkoch
កង្កុញ	kangkonh
កង្កួច	kangkuoch
កង្កួញ	kangkuonh
កង្កៀន	kangkien
កង្កៀម	kangkiem
កង្កែប	kangkaeb
កង្កែបកូប	kangkaebkoub
កង្កែបក្រាំង	kangkaebkraeang
កង្កែបបោក	kangkaebbaok
កង្កែបបោប	kangkaebbaob
កង្កែបប្រុយ	kangkaebbrauy
កង្ក្រម	kangkram
កង្ក្រេងកង្ក្រម	kangkraengkangkram
កង្ខា	kangkha
